,사업장명,위도,경도
136,호텔신라,37.55674999515243,127.00603503579146
137,퍼시픽호텔,37.55972586512637,126.98544167678703
138,프레이저플레이스남대문,37.56137643911978,126.97642852269881
139,체이슨 엠(CHASON M),37.589362344519905,127.05663839988704
140,동대문관광호텔,37.570909189751156,127.01036614871532
141,오리엔스 호텔 앤 레지던스,37.56005616850592,126.99128012550847
142,서울 엔 호스텔,37.56499257163572,127.00208489930517
143,호텔룩홈,37.55833826670119,126.98580913538213
144,명동 G-STAR,37.55909963792811,126.98496703217356
145,명동 G-STAR 2,37.55921195750539,126.98502984039312
146,남산호스텔,37.558090677449954,126.98458002294204
147,메이관광호텔,37.596145480030664,127.08996703578414
148,케이스타호텔,37.56649542309435,127.0066004291739
149,명동미스코리아,37.5608399221332,126.98573524922678
150,호텔 토마스 명동,37.56314725929648,126.97836253257202
151,스텝 인 명동 2,37.56420708551537,126.98535099256677
152,호텔 더 디자이너스,37.54554990755899,126.97158521966779
153,한석,37.518850284542566,127.02521882237465
154,에이원호텔,37.53404263349798,126.99163145929319
155,I.T.W호텔,37.53425365638898,126.99629651041076
156,포시즌스 호텔 서울,37.57055521784341,126.97547738273674
157,가야라트리호텔,37.54083369428818,126.97241900976395
158,임피리얼팰리스 부티크호텔(Imperial Palace Boutique Hotel),37.5353399091917,126.99839813202743
159,크라운관광호텔,37.53144097840229,126.99081162257866
160,주식회사 딜라이트 호텔,37.51538815059877,127.10932166871126
161,맹그로브 신설,37.57618244311428,127.02607305184213
162,사보이호텔,37.561723368260914,126.98430462559325
163,해밀톤관광호텔,37.534882966125174,126.99357560760208
164,케이그랜드 호스텔(K-Grand Hostel),37.56301672674518,127.03198969123255
165,호텔 이노스테이,37.56566583961775,127.05375489029338
166,(주)조선호텔앤리조트 포포인츠 조선 서울역,37.55086184674807,126.97278418944776
167,호텔더디자이너스 디디피,37.56380990161447,127.0041003701585
168,아모렉스 관광호텔,37.56371343143787,127.0352915625138
169,호텔 포코(POCO),37.54345244401873,127.05704442018755
170,호텔컬리넌 도선,37.56263097114571,127.03481512495362
171,새턴호텔(SATURN HOTEL),37.5614384366454,127.06084237076414
172,호스텔 27,37.56140246462643,127.06064945572965
173,골든씨티호텔,37.5623679162099,127.06100571632925
174,서울미라마(유)그랜드하얏트서울,37.53954372308087,126.9978134511501
175,SM부티크호텔,37.566719769495975,127.05356068578148
176,호텔더디자이너스건대,37.55868066389093,127.07660424869789
177,더 클래식 500 펜타즈,37.53878864041637,127.07113672241749
178,동서울 관광호텔,37.534166788427406,127.09188743789227
179,몬드리안 서울 이태원,37.52896343323918,126.99329468760128
180,크리에이터 타운 소공,37.562335930851276,126.9786909475716
181,디 에블린,37.56170960833652,127.06749730324654
182,영빈호텔,37.563055410071,127.00553974864846
183,호텔더디자이너스프리미어건대,37.5473360159101,127.06731907571884
184,HOTEL THE DESIGNERS CHEONGNYANGNI,37.58171247725431,127.04764569924076
185,호텔나인(NINE),37.5706408579485,127.07132466748806
186,신설 레지던스 동대문,37.57643680147089,127.02487317189296
187,드웰동대문(dwell Dongdaemun),37.58940477734404,127.05678592413787
188,호텔케이월드,37.54055964813054,127.06347413548795
