,충전소명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,완속충전기대수,급속충전기대수,주차료부과여부,위도,경도
136,동작구청,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.51252922,126.9399439
137,숭실대학교,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.496429600000006,126.9551598
138,한국전력관악동작지사,연중무휴,0:00,23:00,N,Y,0.0,1.0,Y,37.47830829,126.98095670000001
139,중앙대학교303관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
140,중앙대학교305관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
141,중앙대학교305관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
142,중앙대학교309관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
143,중앙대학교310관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
144,중앙대학교310관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
145,중앙대학교310관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
146,중앙대학교102관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
147,중앙대학교310관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
148,중앙대학교102관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
149,서울시 동작구 보건소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50444598,126.94109040000001
150,현대차 남부서비스센터,연중무휴,0:00,23:59,N,Y,0.0,1.0,N,37.51394627,126.9344456
151,중앙대학교병원 다정관 주차장,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.506036200000004,126.96042
152,동작주차공원 공영주차장,연중무휴,0:00,23:59,N,Y,0.0,1.0,Y,37.50389272,126.97765690000001
153,중앙대학교303관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
154,빅마켓 도봉점,연중무휴,10:00,22:00,N,Y,0.0,2.0,N,37.66766494,127.04555959999999
155,도봉구민회관,연중무휴,0:00,24:00:00,N,Y,0.0,1.0,Y,37.65416709,127.0386044
156,남부수도사업소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.49241456,126.9153994
157,남부수도사업소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.49241456,126.9153994
158,남부수도사업소,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.49241456,126.9153994
159,사당4동주민센터,연중무휴,0:00,23:59,Y,N,1.0,0.0,N,37.48097701,126.97163529999999
160,사당5동주민센터,연중무휴,0:00,23:59,Y,N,1.0,0.0,N,37.48566105,126.96697959999999
161,중앙대학교102관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
162,중앙대학교102관,연중무휴,0:00,23:59,Y,N,1.0,0.0,Y,37.50472555,126.95383390000002
163,송파구청,없음,0:00,23:59,N,Y,0.0,1.0,Y,37.51447565,127.1058587
164,롯데마트 잠실점,"매월2,4주일요일",10:00,23:00,Y,Y,1.0,2.0,Y,37.51131078,127.0981404
165,복정역 공영주차장,없음,0:00,23:59,N,Y,0.0,1.0,Y,37.469749,127.126622
166,마천동1공영주차장,없음,0:00,23:59,N,Y,0.0,1.0,Y,37.4952716,127.1555608
